ChEBI	Origin	Function	Functional detail	Organisms	References
# 3,N(4)-ethenocytosine (epsilonC)
29147	natural	damage	mutagenic	Escherichia coli,Homo sapiens	9671708,8117915
# 3-ethylcytosine
# mainly in treated cells; also in rat liver (Table IV-14, Singer & Grunberger, 1983, chapter IV, in Molecular Biology of Mutagens and Carcinogens, 45–96)
74029	natural	damage	mutagenic	Escherichia coli,Homo sapiens,Enterobacteria phage T4	15381779,164896
# 3-methylcytosine
39992	natural	damage	cytotoxic	Escherichia coli,Homo sapiens,Rattus norvegicus	24810496,5417622,12226667,4028298
# 5-(beta-D-glucosylmethyl)cytosine
131616	synthetic				21151123
# 5-(hydroxymethyl)cytosine
76792	natural	demethylation intermediate and epigenetic mark		Homo sapiens,Mus musculus	23932479,25411882
# 5-carboxycytosine
76793	natural	demethylation intermediate and possible epigenetic mark		Homo sapiens,Mus musculus	23932479,25591929
# 5-formylcytosine
76794	natural	demethylation intermediate and epigenetic mark		Homo sapiens,Mus musculus	23932479,24755596,25591929,26098680,23602153,27356509
# 5-methylcytosine
27551	natural	epigenetic mark		Escherichia coli,Chlamydomonas reinhardtii,Homo sapiens,Mus musculus,Locusta migratoria,Ovis aries,Bos taurus,Drosophila melanogaster,Desulfotomaculum nigrificans,Bacillus stearothermophilus,Desulfovibrio desulfuricans,Arthrobacter luteus,Bacillus amyloliquefaciens,Haemophilus aegyptius,Haemophilus haemolyticus,Haemophilus parainfluenzae,Serratia marcescens,Xanthomonas campestris,Bacillus aneurinolyticus,Fusobacterium nucleatum,Haemophilus gallinarum,Klebsiella pneumoniae,Moraxella nonliquefaciens,Nocardia aerocolonigenes,Streptomyces achromogenes,Caldicellulosiruptor kristjanssonii	5417622,15439258,24640988,6262918,20395551,4000939,3029036,26184871
# N(4)-methylcytosine
21839	natural	restriction-modification		Bacillus cenirosporus,Thermobacteroides acetoethylicus,Methanococcus thermolithotrophicus,Clostridium thermoaceticum,Clostridium thermoautotrophicum,Desulfotomaculum nigrificans,Bacillus stearothermophilus,Geobacillus stearothermophilus,Bacillus globigii,Moraxella bovis,Proteus vulgaris,Thermus aquaticus,Xanthomonas campestris,Bacillus aneurinolyticus,Rhodopseudomonas sphaeroides,Caldicellulosiruptor kristjanssonii	6884523,4000939,25818841,3029036,26184871
#
# guanine
#
# 1-methylguanine
21803	natural	damage	mutagenic	Homo sapiens	5417622
# 2-methylguanine
21818	natural	damage	mutagenic	Homo sapiens	5417622
# 2-amino-3-methyl-3,7-dihydro-6H-purin-6-one (27564) -- similar to 3-methylguanine, omitted
# 2-amino-3-methyl-3,9-dihydro-6H-purin-6-one (46892) -- similar to 3-methylguanine, omitted
# 2-amino-7-methyl-1,7-dihydro-6H-purin-6-one (28664) -- same as 7-methylguanine, omitted
# 2-amino-7-methyl-7H-purin-6-ol (46897) -- similar to 7-methylguanine, omitted
# 2-imino-3-methyl-1,2,3,9-tetrahydro-6H-purin-6-one (46893) -- similar to 3-methylguanine, omitted
# 2-imino-7-methyl-1,2,3,7-tetrahydro-6H-purin-6-one (46894) -- similar to 7-methylguanine, omitted
# 3-methylguanine
1604	natural	damage	mutagenic	Escherichia coli,Mesocricetus auratus,Mus musculus	764991,24810496,985411,728073
# 6-O-methylguanine
20689	natural	damage	highly cytotoxic	Escherichia colii,Mesocricetus auratus,Mus musculus,Rattus norvegicus	24810496,985411,728073,6704174
# 7-methylguanine
2274	natural	damage	cytotoxic	Escherichia coli,Homo sapiens,Mesocricetus auratus,Mus musculus,Rattus norvegicus	24810496,5417622,985411,728073,6704174
# 8-oxoguanine
# 7,8-dihydro-8-oxoguanine -- same as above, using above ChEBI ID only
44605	natural	damage and epigenetic mark	reactive oxygen species	Homo sapiens	2602371,10490501,28629775
# 7-amido-7-deazaguanosine
131836	natural	restriction-modification		Salmonella enterica serovar Montevideo,Kineococcus radiotolerans,Meiothermus chliarophilus,Comamonas testosteroni,Sphingopyxis alaskensis,Ferrimonas balearica	26929322
# 7-cyano-7-deazaguanine / preQ(0)
45075	natural	restriction-modification		Salmonella enterica serovar Montevideo,Kineococcus radiotolerans,Comamonas testosteroni,Sphingopyxis alaskensis,Ferrimonas balearica	26929322
# 7-formamidino-7-deazaguanine / archaeosine / G+
64686	natural	restriction-modification		Enterobacteria phage 9g	26929322
# methylguanine (25305) -- category, not annotated
# 1,N(2)-ethenoguanine
134096	natural	damage	mutagenic	Homo sapiens	21163908
# N(2)-carboxyethylguanine
62032	natural	damage	mutagenic	Homo sapiens	15487900
# N(2),3-ethenoguanine
134095	natural	damage	mutagenic	Homo sapiens	21163908
# N(2),N(2)-dimethylguanosine
19289	natural			Homo sapiens	5417622
# xanthine (7H)
48517	natural	damage	mutagenic	Homo sapiens	1557408
#
# thymine
#
# (beta-D-glucopyranosyloxymethyl)deoxyuridine (nucleobase: base J)
111513	natural	hypermodified nucleobase	transcription terminator	Trypanosoma cruzi,Trypanosoma brucei,Leishmania tarentolae,Leishmania donovani,Crithidia fasciculata,Trypanosoma equiperdum,Trypanoplasma borreli,Euglena gracilis,Leishmania major	21321080,8261512,17329373,10931915,28137275
# (beta-D-glucopyranosyloxymethyl)deoxyuridine 5'-monophosphate (111511) -- same as above with phosphate, omitted
# 5,6-dihydrothymine
27468	natural	damage	mutagenic	Escherichia coli,Homo sapiens	4860750,889777
# 5-hydroxymethyluracil
16964	natural	damage, demethylation intermediate, and possible epigenetic mark		Homo sapiens,Gyrodinium cohnii,Rattus norvegicus,Mus musculus,Leishmania donovani,Leishmania major	10490501,4515611,6592579,24838012,28137275
# 5-formyluracil
80961	natural	damage and demethylation intermediate		Homo sapiens	7578084
# α-putrescinylthymine
132931	natural	hypermodified nucleobase		bacteriophage ϕW-14	4683479
#
# uracil
#
# 1,5-dimethyluracil (1-methylthymine)
74765	synthetic				
# 3,5-dimethyluracil (3-methylthymine)
74766	natural	damage	mutagenic	Rattus norvegicus	3948325
# O4-methylthymine
134100	natural	damage	mutagenic	Homo sapiens	7788843
# 2'-deoxyuridine
16450	natural			Escherichia Coli	25015380
# 5-(2-aminoethoxy)methyluridine
142164	natural	hypermodified nucleobase		Enterobacteria phage ViI	29555775
# 5-(2-aminoethyl)uridine
142166	natural	hypermodified nucleobase		bacteriophage M6	29555775
# 5,6-dihydroxy-2'-deoxyuridine
132189	synthetic				
# 2'-deoxy-5-(4,5-dihydroxypentyl)uridine
132191	natural	hypermodified nucleobase		bacteriophage SP-15	146749,4633812,4633813
# uracil-5-carboxylic acid (5-carboxyuracil)
17477	natural	demethylation intermediate		Rattus norvegicus	26447562
# uracil-6-ylacetic acid (6-carboxymethyluracil)
46371	synthetic and RNA			Saccharomyces cerevisiae	4300701
# 5-dihydroxypentyluracil
132195	natural	hypermodified nucleobase		bacteriophage SP-15	4633813
